Date,adj close,close,high,low,open,repaired?,volume
2010-01-04,82,82,82,80,80,False,263542
2010-01-05,82,82,82,81,82,False,258887
2010-01-06,83,83,84,81,81,False,370059
2010-01-07,83,83,83,82,83,False,246632
2010-01-08,83,83,83,82,83,False,310377
2010-01-11,83,83,84,82,83,False,296304
2010-01-12,81,81,82,80,82,False,333866
2010-01-13,80,80,81,78,80,False,401627
2010-01-14,79,79,80,79,80,False,275404
2010-01-15,78,78,79,78,79,False,200555
2010-01-19,79,79,79,77,78,False,186882
2010-01-20,78,78,79,77,79,False,303758
2010-01-21,76,76,78,76,78,False,327417
2010-01-22,75,75,76,74,76,False,348819
2010-01-25,75,75,75,74,74,False,280559
2010-01-26,75,75,75,74,75,False,256207
2010-01-27,74,74,75,73,75,False,356179
2010-01-28,74,74,74,73,74,False,292911
2010-01-29,73,73,75,72,74,False,335270
2010-02-01,74,74,75,72,73,False,277411
2010-02-02,77,77,77,74,75,False,366269
2010-02-03,77,77,78,77,77,False,391294
2010-02-04,73,73,77,72,77,False,523892
2010-02-05,71,71,74,70,73,False,596142
2010-02-08,72,72,72,71,72,False,345638
2010-02-09,74,74,74,71,72,False,429845
2010-02-10,75,75,75,73,74,False,422057
2010-02-11,75,75,76,73,75,False,464441
2010-02-12,74,74,75,73,75,False,335805
2010-02-16,77,77,77,74,74,False,365032
2010-02-17,77,77,78,77,77,False,283816
2010-02-18,79,79,79,76,77,False,274169
2010-02-19,80,80,80,78,78,False,183234
2010-02-22,80,80,81,79,80,False,238956
2010-02-23,79,79,80,78,80,False,316878
2010-02-24,80,80,80,78,79,False,289321
2010-02-25,78,78,80,77,80,False,346025
2010-02-26,80,80,80,78,78,False,319038
2010-03-01,79,79,81,78,80,False,298718
2010-03-02,80,80,81,78,79,False,301698
2010-03-03,81,81,81,79,80,False,306910
2010-03-04,80,80,81,80,81,False,278889
2010-03-05,82,82,82,80,81,False,299634
2010-03-08,82,82,82,81,82,False,295351
2010-03-09,81,81,82,80,82,False,332133
2010-03-10,82,82,83,81,81,False,430148
2010-03-11,82,82,82,81,82,False,279161
2010-03-12,81,81,83,81,82,False,337201
2010-03-15,80,80,81,79,81,False,283135
2010-03-16,82,82,82,79,80,False,290180
2010-03-17,83,83,83,82,82,False,275205
2010-03-18,82,82,83,82,83,False,208343
2010-03-19,81,81,82,80,82,False,150682
2010-03-22,81,81,81,79,81,False,351220
2010-03-23,82,82,82,81,82,False,261873
2010-03-24,81,81,82,80,82,False,307763
2010-03-25,81,81,81,80,80,False,296271
2010-03-26,80,80,81,80,80,False,324607
2010-03-29,82,82,83,80,80,False,311042
2010-03-30,82,82,83,82,82,False,244435
2010-03-31,84,84,84,82,82,False,371961
2010-04-01,85,85,85,83,83,False,295387
2010-04-05,87,87,87,85,85,False,244106
2010-04-06,87,87,87,86,87,False,290480
2010-04-07,86,86,87,86,87,False,379528
2010-04-08,85,85,86,84,86,False,389596
2010-04-09,85,85,86,84,86,False,442943
2010-04-12,84,84,86,84,85,False,421904
2010-04-13,84,84,84,83,84,False,552298
2010-04-14,86,86,86,84,84,False,425166
2010-04-15,86,86,86,85,86,False,274095
2010-04-16,83,83,85,83,85,False,268760
2010-04-19,81,81,83,81,83,False,122831
2010-04-20,83,83,84,82,82,False,344024
2010-04-21,84,84,85,83,84,False,428236
2010-04-22,84,84,84,82,83,False,433947
2010-04-23,85,85,85,83,84,False,322550
2010-04-26,84,84,86,84,85,False,337123
2010-04-27,82,82,84,82,84,False,462842
2010-04-28,83,83,83,81,82,False,400695
2010-04-29,85,85,85,83,83,False,393689
2010-04-30,86,86,86,85,86,False,392139
2010-05-03,86,86,87,86,86,False,324726
2010-05-04,83,83,86,83,86,False,497427
2010-05-05,80,80,83,79,82,False,512285
2010-05-06,77,77,80,75,80,False,605011
2010-05-07,75,75,78,75,77,False,601534
2010-05-10,77,77,79,76,76,False,447158
2010-05-11,76,76,78,75,77,False,441537
2010-05-12,76,76,77,75,76,False,475847
2010-05-13,74,74,76,74,75,False,532331
2010-05-14,72,72,74,71,74,False,373981
2010-05-17,70,70,72,69,72,False,355833
2010-05-18,69,69,73,69,70,False,206381
2010-05-19,70,70,71,68,69,False,129166
2010-05-20,68,68,71,64,71,False,553741
2010-05-21,70,70,71,69,70,False,449428
2010-05-24,70,70,71,70,71,False,279820
2010-05-25,69,69,70,67,70,False,395399
2010-05-26,72,72,72,69,70,False,405519
2010-05-27,75,75,75,71,71,False,401812
2010-05-28,74,74,76,73,75,False,420674
2010-06-01,73,73,75,72,74,False,438588
2010-06-02,73,73,74,72,72,False,391034
2010-06-03,75,75,75,72,74,False,439431
2010-06-04,72,72,75,71,75,False,448494
2010-06-07,71,71,72,70,70,False,417308
2010-06-08,72,72,72,71,71,False,421966
2010-06-09,74,74,75,72,73,False,436981
2010-06-10,75,75,76,74,74,False,430042
2010-06-11,74,74,76,73,76,False,421739
2010-06-14,75,75,76,74,74,False,321671
2010-06-15,77,77,77,75,75,False,308294
2010-06-16,78,78,78,76,77,False,323357
2010-06-17,77,77,78,76,77,False,303284
2010-06-18,77,77,77,76,77,False,157434
2010-06-21,78,78,79,77,78,False,124289
2010-06-22,77,77,78,77,77,False,285495
2010-06-23,76,76,78,75,78,False,365038
2010-06-24,77,77,77,75,76,False,260401
2010-06-25,79,79,79,76,77,False,316456
2010-06-28,78,78,79,78,79,False,223305
2010-06-29,76,76,78,75,78,False,323267
2010-06-30,76,76,77,74,75,False,357752
2010-07-01,73,73,75,72,75,False,405081
2010-07-02,72,72,73,72,73,False,256171
2010-07-06,72,72,74,71,72,False,325727
2010-07-07,74,74,75,71,72,False,288660
2010-07-08,75,75,76,74,75,False,325813
2010-07-09,76,76,76,75,76,False,269887
2010-07-12,75,75,76,75,76,False,309169
2010-07-13,77,77,77,74,75,False,361792
2010-07-14,77,77,78,76,77,False,364471
2010-07-15,77,77,78,75,77,False,366023
2010-07-16,76,76,77,75,77,False,225250
2010-07-19,77,77,78,76,76,False,169548
2010-07-20,77,77,78,76,76,False,285817
2010-07-21,77,77,79,76,78,False,322410
2010-07-22,79,79,79,76,76,False,358815
2010-07-23,79,79,80,78,79,False,259741
2010-07-26,79,79,79,78,79,False,227656
2010-07-27,78,78,80,77,79,False,377844
2010-07-28,77,77,78,76,77,False,314173
2010-07-29,78,78,79,76,77,False,350581
2010-07-30,79,79,79,77,78,False,294425
2010-08-02,81,81,82,79,79,False,306098
2010-08-03,83,83,83,81,81,False,290979
2010-08-04,82,82,83,82,82,False,293321
2010-08-05,82,82,82,82,82,False,234811
2010-08-06,81,81,83,80,82,False,397532
2010-08-09,81,81,82,81,81,False,267083
2010-08-10,80,80,82,79,81,False,385854
2010-08-11,78,78,80,77,80,False,416889
2010-08-12,76,76,78,76,77,False,430788
2010-08-13,75,75,77,75,76,False,286126
2010-08-16,75,75,76,75,76,False,237455
2010-08-17,76,76,77,75,75,False,347432
2010-08-18,75,75,76,74,75,False,247104
2010-08-19,74,74,76,74,75,False,123224
2010-08-20,73,73,75,73,74,False,246977
2010-08-23,73,73,74,73,74,False,252439
2010-08-24,72,72,73,71,73,False,340994
2010-08-25,73,73,73,71,71,False,343405
2010-08-26,73,73,74,73,73,False,362828
2010-08-27,75,75,75,72,73,False,477903
2010-08-30,75,75,76,74,76,False,260666
2010-08-31,72,72,75,72,74,False,469412
2010-09-01,74,74,74,72,72,False,396607
2010-09-02,75,75,75,73,74,False,340168
2010-09-03,75,75,75,73,75,False,379300
2010-09-07,74,74,75,73,74,False,406641
2010-09-08,75,75,75,73,74,False,359759
2010-09-09,74,74,76,74,75,False,372881
2010-09-10,76,76,77,74,74,False,431370
2010-09-13,77,77,78,76,76,False,349157
2010-09-14,77,77,78,76,77,False,416114
2010-09-15,76,76,77,75,77,False,356325
2010-09-16,75,75,76,74,76,False,289281
2010-09-17,74,74,75,73,74,False,195831
2010-09-20,75,75,75,73,74,False,132427
2010-09-21,74,74,75,73,75,False,311954
2010-09-22,75,75,76,74,75,False,343846
2010-09-23,75,75,76,74,75,False,295903
2010-09-24,76,76,77,75,75,False,288499
2010-09-27,77,77,77,76,76,False,289641
2010-09-28,76,76,77,76,76,False,329350
2010-09-29,78,78,78,76,76,False,388993
2010-09-30,80,80,80,78,78,False,418628
2010-10-01,82,82,82,80,80,False,359944
2010-10-04,81,81,82,81,82,False,313306
2010-10-05,83,83,83,81,81,False,336832
2010-10-06,83,83,84,82,83,False,349174
2010-10-07,82,82,84,81,83,False,450952
2010-10-08,83,83,83,80,81,False,414081
2010-10-11,82,82,84,82,83,False,234320
2010-10-12,82,82,82,81,82,False,333582
2010-10-13,83,83,83,82,82,False,330288
2010-10-14,83,83,84,82,83,False,340955
2010-10-15,81,81,83,81,83,False,345844
2010-10-18,83,83,83,80,81,False,225081
2010-10-19,79,79,83,79,83,False,151357
2010-10-20,82,82,82,79,79,False,422745
2010-10-21,81,81,83,80,83,False,378285
2010-10-22,82,82,82,80,81,False,256382
2010-10-25,83,83,83,81,82,False,339395
2010-10-26,83,83,83,82,82,False,265930
2010-10-27,82,82,83,81,82,False,375249
2010-10-28,82,82,83,82,82,False,296748
2010-10-29,81,81,82,81,82,False,313874
2010-11-01,83,83,84,81,81,False,358535
2010-11-02,84,84,84,83,83,False,281834
2010-11-03,85,85,85,84,84,False,393735
2010-11-04,86,86,87,85,85,False,317997
2010-11-05,87,87,87,86,87,False,317997
2010-11-08,87,87,87,86,87,False,309966
2010-11-09,87,87,88,85,87,False,367995
2010-11-10,88,88,88,86,86,False,472840
2010-11-11,88,88,89,88,88,False,343012
2010-11-12,85,85,88,85,88,False,478815
2010-11-15,85,85,86,84,85,False,315260
2010-11-16,82,82,85,82,85,False,454828
2010-11-17,80,80,83,80,82,False,334525
2010-11-18,82,82,82,80,80,False,160405
2010-11-19,82,82,83,81,82,False,324513
2010-11-22,82,82,83,81,82,False,290222
2010-11-23,81,81,82,80,82,False,351860
2010-11-24,84,84,84,81,81,False,324511
2010-11-26,84,84,85,83,84,False,174178
2010-11-29,86,86,86,84,84,False,335800
2010-11-30,84,84,86,84,86,False,338358
2010-12-01,87,87,87,84,84,False,340736
2010-12-02,88,88,88,86,87,False,330642
2010-12-03,89,89,89,87,88,False,354635
2010-12-06,89,89,90,89,89,False,293836
2010-12-07,89,89,91,88,89,False,462689
2010-12-08,88,88,89,87,88,False,383144
2010-12-09,88,88,89,88,89,False,353964
2010-12-10,88,88,89,87,89,False,313842
2010-12-13,89,89,89,87,88,False,329766
2010-12-14,88,88,89,88,88,False,281851
2010-12-15,89,89,89,87,88,False,355056
2010-12-16,88,88,89,88,88,False,221145
2010-12-17,88,88,89,87,88,False,152396
2010-12-20,89,89,89,87,88,False,265975
2010-12-21,90,90,90,89,89,False,187321
2010-12-22,90,90,91,90,90,False,187386
2010-12-23,92,92,92,90,91,False,145007
2010-12-27,91,91,92,91,91,False,104321
2010-12-28,91,91,92,91,91,False,104415
2010-12-29,91,91,92,91,91,False,117853
2010-12-30,90,90,91,89,91,False,209645
2010-12-31,91,91,92,89,90,False,171010
2011-01-03,92,92,93,91,91,False,225189
2011-01-04,89,89,92,88,92,False,415521
2011-01-05,90,90,91,88,89,False,416908
2011-01-06,88,88,91,88,90,False,440456
2011-01-07,88,88,89,87,88,False,444813
2011-01-10,89,89,90,88,89,False,430277
2011-01-11,91,91,91,89,89,False,429761
2011-01-12,92,92,92,91,91,False,382686
2011-01-13,91,91,92,91,92,False,358898
2011-01-14,92,92,92,90,91,False,313331
2011-01-18,91,91,92,91,92,False,211930
2011-01-19,91,91,92,90,91,False,109525
2011-01-20,89,89,91,88,91,False,442041
2011-01-21,89,89,90,89,89,False,287810
2011-01-24,88,88,90,87,89,False,356085
2011-01-25,86,86,88,86,88,False,338646
2011-01-26,87,87,88,86,86,False,347753
2011-01-27,86,86,88,85,88,False,369379
2011-01-28,89,89,90,85,85,False,584789
2011-01-31,92,92,93,88,90,False,436801
2011-02-01,91,91,92,90,92,False,392882
2011-02-02,91,91,92,90,91,False,312107
2011-02-03,91,91,92,90,91,False,290494
2011-02-04,89,89,92,88,91,False,359925
2011-02-07,87,87,90,87,89,False,324984
2011-02-08,87,87,88,86,87,False,414877
2011-02-09,87,87,88,86,87,False,367209
2011-02-10,87,87,88,86,87,False,419188
2011-02-11,86,86,88,85,88,False,383391
2011-02-14,85,85,87,85,86,False,319329
2011-02-15,84,84,86,84,85,False,284165
2011-02-16,85,85,86,84,84,False,297660
2011-02-17,86,86,87,84,85,False,176128
2011-02-18,86,86,88,86,86,False,155296
2011-02-22,94,94,94,86,86,False,638193
2011-02-23,98,98,100,95,96,False,489667
2011-02-24,97,97,103,96,99,False,507456
2011-02-25,98,98,99,96,97,False,307903
2011-02-28,97,97,100,97,98,False,262001
2011-03-01,100,100,101,96,97,False,322429
2011-03-02,102,102,102,99,100,False,446378
2011-03-03,102,102,103,100,102,False,382555
2011-03-04,104,104,105,102,102,False,369148
2011-03-07,105,105,107,104,105,False,404435
2011-03-08,105,105,106,103,105,False,420036
2011-03-09,104,104,106,104,105,False,353948
2011-03-10,103,103,105,101,104,False,432988
2011-03-11,101,101,103,99,103,False,342531
2011-03-14,101,101,102,98,100,False,289434
2011-03-15,97,97,102,97,102,False,388736
2011-03-16,98,98,100,96,97,False,357944
2011-03-17,101,101,102,97,98,False,261573
2011-03-18,101,101,104,100,102,False,217675
2011-03-21,102,102,103,102,102,False,103960
2011-03-22,104,104,105,101,102,False,303365
2011-03-23,106,106,106,104,105,False,254571
2011-03-24,106,106,107,105,106,False,258015
2011-03-25,105,105,106,104,105,False,235658
2011-03-28,104,104,106,104,105,False,223079
2011-03-29,105,105,105,103,104,False,246824
2011-03-30,104,104,105,103,104,False,256895
2011-03-31,107,107,107,104,104,False,270630
2011-04-01,108,108,108,106,107,False,283710
2011-04-04,108,108,109,108,108,False,228494
2011-04-05,108,108,109,108,108,False,249358
2011-04-06,109,109,109,108,108,False,255598
2011-04-07,110,110,110,108,109,False,334906
2011-04-08,113,113,113,110,110,False,319475
2011-04-11,110,110,113,109,113,False,364348
2011-04-12,106,106,110,105,109,False,555625
2011-04-13,107,107,107,105,106,False,456863
2011-04-14,108,108,109,106,107,False,352072
2011-04-15,110,110,110,107,108,False,224394
2011-04-18,107,107,109,107,109,False,138178
2011-04-19,108,108,108,106,108,False,324778
2011-04-20,111,111,112,108,108,False,291546
2011-04-21,112,112,112,111,111,False,240462
2011-04-25,112,112,113,111,112,False,209683
2011-04-26,112,112,113,111,112,False,234441
2011-04-27,113,113,113,111,112,False,338697
2011-04-28,113,113,114,112,113,False,301604
2011-04-29,114,114,114,112,113,False,201831
2011-05-02,114,114,115,111,114,False,310994
2011-05-03,111,111,113,110,113,False,300333
2011-05-04,109,109,111,108,111,False,333018
2011-05-05,100,100,109,98,109,False,670082
2011-05-06,97,97,102,95,100,False,606528
2011-05-09,103,103,103,97,98,False,469290
2011-05-10,104,104,104,100,102,False,439607
2011-05-11,98,98,105,98,104,False,524761
2011-05-12,99,99,100,95,99,False,522503
2011-05-13,100,100,101,97,99,False,367717
2011-05-16,97,97,100,97,99,False,335318
2011-05-17,97,97,98,95,97,False,399128
2011-05-18,100,100,101,97,98,False,285299
2011-05-19,98,98,101,98,100,False,142668
2011-05-20,99,99,100,96,99,False,394911
2011-05-23,98,98,100,96,100,False,296828
2011-05-24,100,100,100,97,98,False,339530
2011-05-25,101,101,102,98,99,False,354880
2011-05-26,100,100,102,100,101,False,332135
2011-05-27,101,101,101,100,100,False,212254
2011-05-31,103,103,103,100,101,False,319037
2011-06-01,100,100,103,100,103,False,376476
2011-06-02,100,100,101,98,100,False,389637
2011-06-03,100,100,101,98,101,False,351309
2011-06-06,99,99,101,99,100,False,289670
2011-06-07,99,99,100,98,99,False,415373
2011-06-08,101,101,102,98,100,False,484275
2011-06-09,102,102,102,101,101,False,345542
2011-06-10,99,99,102,99,102,False,379238
2011-06-13,97,97,99,96,99,False,381993
2011-06-14,99,99,99,97,97,False,347721
2011-06-15,95,95,100,94,100,False,508717
2011-06-16,95,95,96,94,95,False,336011
2011-06-17,93,93,95,92,95,False,245013
2011-06-20,93,93,93,91,93,False,136837
2011-06-21,93,93,95,92,93,False,323911
2011-06-22,95,95,96,93,94,False,296275
2011-06-23,91,91,94,90,94,False,484057
2011-06-24,91,91,92,90,92,False,337767
2011-06-27,91,91,91,90,91,False,278681
2011-06-28,93,93,93,90,91,False,279024
2011-06-29,95,95,96,93,93,False,348790
2011-06-30,95,95,96,94,95,False,276580
2011-07-01,95,95,95,93,95,False,263626
2011-07-05,97,97,97,94,95,False,275650
2011-07-06,97,97,98,96,97,False,288321
2011-07-07,99,99,99,97,97,False,339270
2011-07-08,96,96,99,96,99,False,347999
2011-07-11,95,95,97,94,96,False,311449
2011-07-12,97,97,98,94,95,False,343493
2011-07-13,98,98,99,97,97,False,355098
2011-07-14,96,96,99,95,98,False,403419
2011-07-15,97,97,98,95,96,False,266461
2011-07-18,96,96,98,95,97,False,203973
2011-07-19,98,98,99,96,96,False,138045
2011-07-20,98,98,99,97,98,False,295669
2011-07-21,99,99,100,97,98,False,293973
2011-07-22,100,100,100,98,99,False,223266
2011-07-25,99,99,100,99,100,False,205209
2011-07-26,100,100,101,98,99,False,332692
