Date,adj close,close,high,low,open,repaired?,volume
2010-01-04,1118,1118,1122,1097,1118,False,184
2010-01-05,1118,1118,1126,1115,1118,False,53
2010-01-06,1136,1136,1139,1121,1136,False,363
2010-01-07,1133,1133,1133,1129,1133,False,56
2010-01-08,1138,1138,1138,1123,1138,False,54
2010-01-11,1151,1151,1161,1143,1151,False,177
2010-01-12,1129,1129,1157,1127,1129,False,51
2010-01-13,1136,1136,1136,1121,1136,False,58
2010-01-14,1143,1143,1146,1133,1137,False,81
2010-01-15,1130,1130,1133,1127,1133,False,50
2010-01-19,1140,1140,1140,1130,1140,False,22
2010-01-20,1112,1112,1133,1110,1123,False,28
2010-01-21,1103,1103,1108,1090,1103,False,99
2010-01-22,1089,1089,1095,1083,1089,False,58
2010-01-25,1095,1095,1095,1095,1095,False,8
2010-01-26,1098,1098,1098,1098,1098,False,4
2010-01-27,1084,1084,1084,1084,1084,False,206694
2010-01-28,1084,1084,1096,1073,1088,False,101168
2010-01-29,1083,1083,1091,1074,1085,False,11456
2010-02-01,1104,1104,1107,1077,1081,False,2452
2010-02-02,1117,1117,1118,1100,1117,False,3326
2010-02-03,1111,1111,1125,1109,1116,False,853
2010-02-04,1062,1062,1111,1059,1110,False,1426
2010-02-05,1052,1052,1068,1045,1052,False,1956
2010-02-08,1066,1066,1073,1062,1066,False,549
2010-02-09,1077,1077,1082,1063,1077,False,387
2010-02-10,1076,1076,1081,1063,1076,False,640
2010-02-11,1094,1094,1097,1076,1077,False,1491
2010-02-12,1090,1090,1092,1080,1090,False,197
2010-02-16,1119,1119,1120,1092,1119,False,928
2010-02-17,1120,1120,1127,1108,1120,False,1083
2010-02-18,1118,1118,1124,1101,1118,False,989
2010-02-19,1121,1121,1126,1100,1121,False,137
2010-02-22,1113,1113,1127,1110,1113,False,124
2010-02-23,1103,1103,1118,1103,1116,False,152
2010-02-24,1096,1096,1096,1096,1096,False,751
2010-02-25,1108,1108,1108,1089,1108,False,386
2010-02-26,1118,1118,1118,1107,1107,False,382
2010-03-01,1118,1118,1122,1114,1119,False,184
2010-03-02,1137,1137,1137,1116,1137,False,155
2010-03-03,1143,1143,1145,1134,1143,False,170
2010-03-04,1133,1133,1139,1129,1133,False,118
2010-03-05,1135,1135,1135,1135,1135,False,129
