Date,open,high,low,close,volume,dividend,split
2019-09-03,55.0,55.24,52.84,53.94,970804,0,1.0
2019-09-04,53.92,56.58,53.84,56.26,682298,0,1.0
2019-09-05,55.95,57.76,55.75,56.3,712466,0,1.0
2019-09-06,56.19,56.95,54.83,56.52,714294,0,1.0
2019-09-09,56.8,58.16,56.58,57.85,646993,0,1.0
2019-09-10,58.03,58.76,57.2,57.4,755472,0,1.0
2019-09-11,57.89,58.3,55.61,55.75,858772,0,1.0
2019-09-12,55.93,56.34,54.0,55.09,845977,0,1.0
2019-09-13,55.15,55.68,54.44,54.85,599470,0,1.0
2019-09-16,61.48,63.38,58.77,62.9,1404916,0,1.0
2019-09-17,61.96,62.59,58.46,59.34,993237,0,1.0
2019-09-18,58.81,59.43,57.67,58.11,216961,0,1.0
2019-09-19,58.2,59.54,58.01,58.13,112327,0,1.0
2019-09-20,58.65,59.1,57.79,58.09,576019,0,1.0
2019-09-23,59.25,59.39,57.37,58.64,526785,0,1.0
2019-09-24,58.44,58.49,56.69,57.29,591529,0,1.0
2019-09-25,56.7,57.02,55.55,56.49,563550,0,1.0
2019-09-26,56.69,56.84,55.41,56.41,599653,0,1.0
2019-09-27,56.51,56.76,54.75,55.91,712966,0,1.0
2019-09-30,56.54,56.57,53.98,54.07,532522,0,1.0
2019-10-01,54.28,54.84,53.05,53.62,589176,0,1.0
2019-10-02,54.0,54.42,52.17,52.64,590306,0,1.0
2019-10-03,52.47,52.91,50.99,52.45,642466,0,1.0
2019-10-04,52.29,53.35,52.04,52.81,541104,0,1.0
2019-10-07,52.69,54.06,52.59,52.75,549019,0,1.0
2019-10-08,52.81,53.27,51.81,52.63,658324,0,1.0
2019-10-09,52.57,53.74,52.31,52.59,632666,0,1.0
2019-10-10,52.69,53.97,51.38,53.55,613944,0,1.0
2019-10-11,53.88,54.93,53.64,54.7,467643,0,1.0
2019-10-14,54.9,54.9,52.77,53.59,467643,0,1.0
2019-10-15,53.51,53.79,52.39,52.81,511249,0,1.0
2019-10-16,52.92,53.74,52.52,53.36,451643,0,1.0
2019-10-17,52.99,54.16,52.62,53.93,418422,0,1.0
2019-10-18,54.09,54.62,53.35,53.78,174477,0,1.0
2019-10-21,53.71,54.03,52.71,53.31,95979,0,1.0
2019-10-22,53.39,54.62,53.1,54.16,506573,0,1.0
2019-10-23,54.3,56.07,53.62,55.97,620202,0,1.0
2019-10-24,55.9,56.51,55.41,56.23,480764,0,1.0
2019-10-25,56.07,56.74,55.6,56.66,445020,0,1.0
2019-10-28,56.65,56.92,55.58,55.81,437020,0,1.0
2019-10-29,55.8,55.91,54.61,55.54,521457,0,1.0
2019-10-30,55.53,55.73,54.42,55.06,659328,0,1.0
2019-10-31,54.9,55.59,53.71,54.18,677419,0,1.0
2019-11-01,54.15,56.33,54.07,56.2,538117,0,1.0
2019-11-04,56.41,57.43,55.83,56.54,580350,0,1.0
2019-11-05,56.56,57.5,56.3,57.23,435319,0,1.0
2019-11-06,57.26,57.85,56.11,56.35,623258,0,1.0
2019-11-07,56.35,57.88,56.27,57.15,678165,0,1.0
2019-11-08,57.08,57.48,55.76,57.24,636941,0,1.0
2019-11-11,57.4,57.4,56.25,56.86,498981,0,1.0
2019-11-12,56.89,57.55,56.54,56.8,586568,0,1.0
2019-11-13,56.79,57.53,56.2,57.12,547635,0,1.0
2019-11-14,57.39,57.79,56.63,56.77,516832,0,1.0
2019-11-15,56.91,57.97,56.43,57.72,375993,0,1.0
2019-11-18,57.88,58.09,56.55,57.05,159328,0,1.0
2019-11-19,56.9,57.11,55.04,55.21,121214,0,1.0
2019-11-20,55.16,57.25,54.76,57.11,674891,0,1.0
2019-11-21,57.0,58.67,56.6,58.58,593533,0,1.0
2019-11-22,58.31,58.74,57.5,57.77,508244,0,1.0
2019-11-25,57.92,58.15,57.21,58.01,420642,0,1.0
2019-11-26,57.92,58.56,57.76,58.41,443816,0,1.0
2019-11-27,58.27,58.68,57.51,58.11,454256,0,1.0
2019-11-29,58.13,58.3,55.02,55.17,718724,0,1.0
2019-12-02,55.47,56.67,55.42,55.96,616423,0,1.0
