amount,dt,price,order_id,sid,commission,date
100,2019-11-26 21:00:00+00:00,58.439205,74892016b6eb4426b2471aa0d389bfd7,Equity(0 [CL=F]),,2019-11-26 21:00:00+00:00
33,2020-03-18 20:00:00+00:00,1478.03865,4e8cdd49329e40f29c1942f18462732b,Equity(1 [GC=F]),,2020-03-18 20:00:00+00:00
26,2020-03-19 20:00:00+00:00,1479.3393,4e8cdd49329e40f29c1942f18462732b,Equity(1 [GC=F]),,2020-03-19 20:00:00+00:00
1,2020-03-20 20:00:00+00:00,1484.742,4e8cdd49329e40f29c1942f18462732b,Equity(1 [GC=F]),,2020-03-20 20:00:00+00:00
5,2020-03-23 20:00:00+00:00,1567.7835,4e8cdd49329e40f29c1942f18462732b,Equity(1 [GC=F]),,2020-03-23 20:00:00+00:00
35,2020-03-24 20:00:00+00:00,1661.0301,4e8cdd49329e40f29c1942f18462732b,Equity(1 [GC=F]),,2020-03-24 20:00:00+00:00
-9,2020-03-24 20:00:00+00:00,1659.3699000000001,32a4c262bc464961873fe7499e60f078,Equity(1 [GC=F]),,2020-03-24 20:00:00+00:00
-24,2020-03-25 20:00:00+00:00,1631.4838499999998,32a4c262bc464961873fe7499e60f078,Equity(1 [GC=F]),,2020-03-25 20:00:00+00:00
23,2020-03-25 20:00:00+00:00,1633.11615,616bb4bd4b8949b28551082fe3f91645,Equity(1 [GC=F]),,2020-03-25 20:00:00+00:00
18,2020-03-27 20:00:00+00:00,1624.7119500000001,616bb4bd4b8949b28551082fe3f91645,Equity(1 [GC=F]),,2020-03-27 20:00:00+00:00
-60,2020-03-27 20:00:00+00:00,1623.08805,c622bdde29df4b4e8e9e9d0e813dba64,Equity(1 [GC=F]),,2020-03-27 20:00:00+00:00
-65,2020-03-27 20:00:00+00:00,1623.08805,e7bc1afc349646de9a7a1317f8ca033c,Equity(1 [GC=F]),,2020-03-27 20:00:00+00:00
-91,2020-03-27 20:00:00+00:00,1623.08805,9cb3840654894b84b448a6165e24212c,Equity(1 [GC=F]),,2020-03-27 20:00:00+00:00
-90,2020-03-27 20:00:00+00:00,1623.08805,90d6c232b4214c1d82e81685c1a11672,Equity(1 [GC=F]),,2020-03-27 20:00:00+00:00
-90,2020-03-27 20:00:00+00:00,1623.08805,3b5a1665665e4bb09a4df928b2610d45,Equity(1 [GC=F]),,2020-03-27 20:00:00+00:00
288,2020-03-30 20:00:00+00:00,1622.811,9b324bdbd4bb4ac983d9789414b4b8b1,Equity(1 [GC=F]),,2020-03-30 20:00:00+00:00
-100,2020-05-04 20:00:00+00:00,20.379805,e97e5b48a0f044a7b4b809ac04d5989d,Equity(0 [CL=F]),,2020-05-04 20:00:00+00:00
100,2020-05-05 20:00:00+00:00,24.572280000000003,89ef2bec0f734aa8a4c315c4aaacf7b7,Equity(0 [CL=F]),,2020-05-05 20:00:00+00:00
-100,2020-05-07 20:00:00+00:00,23.538225,c0b989fc7ceb4205b831d2759ca58f81,Equity(0 [CL=F]),,2020-05-07 20:00:00+00:00
100,2020-05-19 20:00:00+00:00,32.51625,98d1add2f6a74462b8858720b746cde7,Equity(0 [CL=F]),,2020-05-19 20:00:00+00:00
-100,2020-06-03 20:00:00+00:00,37.271355,c0b449e92a2b444bb21254f716482924,Equity(0 [CL=F]),,2020-06-03 20:00:00+00:00
100,2020-06-19 20:00:00+00:00,39.769875,08655b36b6d143c693060f5f546c1653,Equity(0 [CL=F]),,2020-06-19 20:00:00+00:00
-100,2022-03-04 21:00:00+00:00,115.62216000000001,6c0eba4665404c91bdd84dba867258fd,Equity(0 [CL=F]),,2022-03-04 21:00:00+00:00
100,2022-03-11 21:00:00+00:00,109.384665,fb5266b6abc44b56b022ebf33b664416,Equity(0 [CL=F]),,2022-03-11 21:00:00+00:00
