,Date,adj close,close,high,low,open,repaired?,volume
2421,2019-08-20,56,56,57,55,56,False,659258
2422,2019-08-21,56,56,57,56,56,False,704035
2423,2019-08-22,55,55,56,55,56,False,621573
2424,2019-08-23,54,54,56,53,55,False,807151
2425,2019-08-26,54,54,55,53,53,False,679022
2426,2019-08-27,55,55,56,54,54,False,596624
2427,2019-08-28,56,56,57,55,56,False,674048
2428,2019-08-29,57,57,57,55,56,False,630760
2429,2019-08-30,55,55,57,55,57,False,708268
2430,2019-09-03,54,54,55,53,55,False,970804
2431,2019-09-04,56,56,57,54,54,False,682298
2432,2019-09-05,56,56,58,56,56,False,712466
2433,2019-09-06,57,57,57,55,56,False,714294
2434,2019-09-09,58,58,58,57,57,False,646993
2435,2019-09-10,57,57,59,57,58,False,755472
2436,2019-09-11,56,56,58,56,58,False,858772
2437,2019-09-12,55,55,56,54,56,False,845977
2438,2019-09-13,55,55,56,54,55,False,599470
2439,2019-09-16,63,63,63,59,61,False,1404916
2440,2019-09-17,59,59,63,58,62,False,993237
2441,2019-09-18,58,58,59,58,59,False,216961
2442,2019-09-19,58,58,60,58,58,False,112327
2443,2019-09-20,58,58,59,58,59,False,576019
2444,2019-09-23,59,59,59,57,59,False,526785
2445,2019-09-24,57,57,58,57,58,False,591529
2446,2019-09-25,56,56,57,56,57,False,563550
2447,2019-09-26,56,56,57,55,57,False,599653
2448,2019-09-27,56,56,57,55,57,False,712966
2449,2019-09-30,54,54,57,54,57,False,532522
2450,2019-10-01,54,54,55,53,54,False,589176
2451,2019-10-02,53,53,54,52,54,False,590306
2452,2019-10-03,52,52,53,51,52,False,642466
2453,2019-10-04,53,53,53,52,52,False,541104
2454,2019-10-07,53,53,54,53,53,False,549019
2455,2019-10-08,53,53,53,52,53,False,658324
2456,2019-10-09,53,53,54,52,53,False,632666
2457,2019-10-10,54,54,54,51,53,False,613944
2458,2019-10-11,55,55,55,54,54,False,467643
2459,2019-10-14,54,54,55,53,55,False,467643
2460,2019-10-15,53,53,54,52,54,False,511249
2461,2019-10-16,53,53,54,53,53,False,451643
2462,2019-10-17,54,54,54,53,53,False,418422
2463,2019-10-18,54,54,55,53,54,False,174477
2464,2019-10-21,53,53,54,53,54,False,95979
2465,2019-10-22,54,54,55,53,53,False,506573
2466,2019-10-23,56,56,56,54,54,False,620202
2467,2019-10-24,56,56,57,55,56,False,480764
2468,2019-10-25,57,57,57,56,56,False,445020
2469,2019-10-28,56,56,57,56,57,False,437020
2470,2019-10-29,56,56,56,55,56,False,521457
2471,2019-10-30,55,55,56,54,56,False,659328
2472,2019-10-31,54,54,56,54,55,False,677419
2473,2019-11-01,56,56,56,54,54,False,538117
2474,2019-11-04,57,57,57,56,56,False,580350
2475,2019-11-05,57,57,58,56,57,False,435319
2476,2019-11-06,56,56,58,56,57,False,623258
2477,2019-11-07,57,57,58,56,56,False,678165
2478,2019-11-08,57,57,57,56,57,False,636941
2479,2019-11-11,57,57,57,56,57,False,498981
2480,2019-11-12,57,57,58,57,57,False,586568
2481,2019-11-13,57,57,58,56,57,False,547635
2482,2019-11-14,57,57,58,57,57,False,516832
2483,2019-11-15,58,58,58,56,57,False,375993
2484,2019-11-18,57,57,58,57,58,False,159328
2485,2019-11-19,55,55,57,55,57,False,121214
2486,2019-11-20,57,57,57,55,55,False,674891
2487,2019-11-21,59,59,59,57,57,False,593533
2488,2019-11-22,58,58,59,58,58,False,508244
2489,2019-11-25,58,58,58,57,58,False,420642
2490,2019-11-26,58,58,59,58,58,False,443816
2491,2019-11-27,58,58,59,58,58,False,454256
2492,2019-11-29,55,55,58,55,58,False,718724
2493,2019-12-02,56,56,57,55,55,False,616423
2494,2019-12-03,56,56,57,55,56,False,560554
2495,2019-12-04,58,58,59,56,56,False,760541
2496,2019-12-05,58,58,59,58,58,False,649461
2497,2019-12-06,59,59,60,58,58,False,679609
2498,2019-12-09,59,59,59,58,59,False,511561
2499,2019-12-10,59,59,60,59,59,False,566822
2500,2019-12-11,59,59,59,58,59,False,589650
2501,2019-12-12,59,59,60,59,59,False,530851
2502,2019-12-13,60,60,60,59,59,False,512288
2503,2019-12-16,60,60,60,60,60,False,347395
2504,2019-12-17,61,61,61,60,60,False,163744
2505,2019-12-18,61,61,61,60,61,False,131071
2506,2019-12-19,61,61,61,61,61,False,426341
2507,2019-12-20,60,60,61,60,61,False,552517
2508,2019-12-23,61,61,61,60,60,False,314711
2509,2019-12-24,61,61,61,60,61,False,204535
