,Date,adj close,close,high,low,open,repaired?,volume
2420,2019-08-20,1505,1505,1506,1498,1498,False,486
2421,2019-08-21,1505,1505,1505,1499,1505,False,350
2422,2019-08-22,1497,1497,1497,1494,1495,False,686
2423,2019-08-23,1527,1527,1528,1494,1494,False,983
2424,2019-08-26,1526,1526,1543,1524,1543,False,334
2425,2019-08-27,1541,1541,1542,1528,1530,False,166
2426,2019-08-28,1538,1538,1538,1538,1538,False,2756
2427,2019-08-29,1526,1526,1549,1520,1538,False,704
2428,2019-08-30,1519,1519,1530,1517,1525,False,276
2429,2019-09-03,1546,1546,1547,1521,1523,False,139
2430,2019-09-04,1550,1550,1553,1535,1549,False,46
2431,2019-09-05,1515,1515,1551,1511,1551,False,125
2432,2019-09-06,1506,1506,1526,1504,1517,False,54
2433,2019-09-09,1502,1502,1513,1498,1509,False,69
2434,2019-09-10,1490,1490,1498,1487,1498,False,23
2435,2019-09-11,1494,1494,1497,1490,1492,False,8
2436,2019-09-12,1499,1499,1515,1499,1500,False,27
2437,2019-09-13,1491,1491,1491,1487,1491,False,1
2438,2019-09-16,1503,1503,1507,1497,1507,False,21
2439,2019-09-17,1505,1505,1505,1498,1498,False,3
2440,2019-09-18,1508,1508,1509,1489,1509,False,8
2441,2019-09-19,1498,1498,1502,1496,1496,False,10
2442,2019-09-20,1507,1507,1507,1503,1503,False,2
2443,2019-09-23,1524,1524,1524,1516,1516,False,5
2444,2019-09-24,1532,1532,1533,1515,1515,False,25
2445,2019-09-25,1505,1505,1528,1505,1528,False,25
2446,2019-09-26,1508,1508,1508,1508,1508,False,8178
2447,2019-09-27,1499,1499,1506,1486,1504,False,7827
2448,2019-09-30,1466,1466,1496,1464,1496,False,1078
2449,2019-10-01,1482,1482,1486,1458,1469,False,219
2450,2019-10-02,1501,1501,1504,1474,1477,False,205
2451,2019-10-03,1507,1507,1518,1497,1497,False,1213
2452,2019-10-04,1506,1506,1509,1497,1506,False,233
2453,2019-10-07,1498,1498,1506,1489,1505,False,121
2454,2019-10-08,1497,1497,1506,1489,1489,False,46
2455,2019-10-09,1506,1506,1508,1498,1508,False,120
2456,2019-10-10,1495,1495,1511,1491,1511,False,78
2457,2019-10-11,1483,1483,1495,1477,1492,False,57
2458,2019-10-14,1492,1492,1494,1481,1484,False,400
2459,2019-10-15,1478,1478,1495,1477,1489,False,367
2460,2019-10-16,1488,1488,1488,1480,1482,False,383
2461,2019-10-17,1492,1492,1493,1486,1486,False,271
2462,2019-10-18,1488,1488,1489,1487,1487,False,82
2463,2019-10-21,1482,1482,1490,1482,1490,False,72
2464,2019-10-22,1482,1482,1484,1482,1483,False,99
2465,2019-10-23,1490,1490,1490,1486,1486,False,67
2466,2019-10-24,1499,1499,1501,1486,1490,False,115
2467,2019-10-25,1500,1500,1514,1499,1501,False,93
2468,2019-10-28,1490,1490,1504,1490,1504,False,37
2469,2019-10-29,1487,1487,1487,1486,1486,False,425
2470,2019-10-30,1493,1493,1495,1481,1487,False,320
2471,2019-10-31,1511,1511,1513,1496,1496,False,210
2472,2019-11-01,1508,1508,1512,1503,1511,False,235
2473,2019-11-04,1508,1508,1512,1508,1512,False,101
2474,2019-11-05,1481,1481,1507,1481,1507,False,31
2475,2019-11-06,1490,1490,1491,1483,1483,False,567
2476,2019-11-07,1464,1464,1489,1464,1489,False,581
2477,2019-11-08,1461,1461,1469,1461,1469,False,21
2478,2019-11-11,1456,1456,1461,1449,1461,False,22
2479,2019-11-12,1452,1452,1455,1447,1455,False,6
2480,2019-11-13,1462,1462,1463,1457,1457,False,56
2481,2019-11-14,1472,1472,1472,1464,1464,False,83
2482,2019-11-15,1467,1467,1469,1467,1469,False,13
2483,2019-11-18,1471,1471,1472,1470,1472,False,141
2484,2019-11-19,1473,1473,1474,1468,1468,False,18
2485,2019-11-20,1473,1473,1474,1467,1473,False,31
2486,2019-11-21,1463,1463,1463,1463,1463,False,16
2487,2019-11-22,1463,1463,1469,1463,1469,False,19
2488,2019-11-25,1457,1457,1457,1456,1457,False,14
2489,2019-11-26,1460,1460,1460,1460,1460,False,346362
2490,2019-11-27,1453,1453,1462,1452,1461,False,88364
2491,2019-11-29,1466,1466,1466,1452,1454,False,7020
2492,2019-12-02,1462,1462,1464,1453,1463,False,2172
2493,2019-12-03,1478,1478,1480,1460,1462,False,1460
2494,2019-12-04,1474,1474,1483,1471,1478,False,613
2495,2019-12-05,1477,1477,1478,1472,1475,False,907
2496,2019-12-06,1459,1459,1476,1458,1475,False,899
2497,2019-12-09,1459,1459,1464,1459,1459,False,1461
2498,2019-12-10,1463,1463,1467,1461,1461,False,367
2499,2019-12-11,1469,1469,1475,1463,1463,False,393
2500,2019-12-12,1467,1467,1484,1464,1475,False,955
2501,2019-12-13,1476,1476,1476,1463,1463,False,468
2502,2019-12-16,1475,1475,1475,1474,1474,False,99
2503,2019-12-17,1475,1475,1477,1474,1474,False,410
2504,2019-12-18,1473,1473,1473,1473,1473,False,250
2505,2019-12-19,1478,1478,1479,1473,1476,False,319
2506,2019-12-20,1475,1475,1478,1475,1477,False,118
2507,2019-12-23,1482,1482,1482,1480,1482,False,391
2508,2019-12-24,1499,1499,1499,1489,1489,False,52
2509,2019-12-26,1509,1509,1512,1505,1505,False,126
2510,2019-12-27,1514,1514,1514,1514,1514,False,839
2511,2019-12-30,1514,1514,1515,1510,1513,False,446
2512,2019-12-31,1520,1520,1523,1514,1514,False,301
2513,2020-01-02,1524,1524,1529,1518,1518,False,214
2514,2020-01-03,1549,1549,1553,1530,1530,False,107
2515,2020-01-06,1566,1566,1580,1560,1580,False,416
2516,2020-01-07,1572,1572,1576,1558,1558,False,47
2517,2020-01-08,1557,1557,1604,1552,1580,False,236
2518,2020-01-09,1552,1552,1556,1543,1556,False,54
2519,2020-01-10,1558,1558,1559,1545,1551,False,16
2520,2020-01-13,1548,1548,1558,1548,1557,False,48
2521,2020-01-14,1542,1542,1547,1535,1547,False,32
2522,2020-01-15,1552,1552,1554,1546,1548,False,11
2523,2020-01-16,1549,1549,1556,1548,1556,False,98
2524,2020-01-17,1559,1559,1559,1554,1554,False,108
2525,2020-01-21,1556,1556,1566,1551,1559,False,45
2526,2020-01-22,1555,1555,1557,1550,1550,False,42
2527,2020-01-23,1565,1565,1565,1552,1553,False,15
2528,2020-01-24,1571,1571,1571,1556,1556,False,43
2529,2020-01-27,1577,1577,1584,1577,1584,False,22
2530,2020-01-28,1569,1569,1576,1569,1576,False,3
2531,2020-01-29,1570,1570,1570,1570,1570,False,251274
2532,2020-01-30,1584,1584,1585,1571,1577,False,62336
2533,2020-01-31,1583,1583,1589,1570,1573,False,1095
2534,2020-02-03,1577,1577,1593,1568,1593,False,1062
2535,2020-02-04,1550,1550,1578,1548,1578,False,978
2536,2020-02-05,1558,1558,1561,1548,1553,False,1305
2537,2020-02-06,1565,1565,1566,1552,1554,False,110
2538,2020-02-07,1569,1569,1572,1560,1565,False,431
2539,2020-02-10,1575,1575,1575,1569,1569,False,128
2540,2020-02-11,1566,1566,1571,1562,1571,False,440
2541,2020-02-12,1567,1567,1569,1561,1565,False,36
2542,2020-02-13,1575,1575,1575,1570,1570,False,74
2543,2020-02-14,1583,1583,1583,1575,1576,False,68
2544,2020-02-18,1600,1600,1604,1580,1580,False,310
2545,2020-02-19,1608,1608,1610,1600,1601,False,542
2546,2020-02-20,1617,1617,1621,1603,1606,False,117
2547,2020-02-21,1645,1645,1645,1619,1619,False,186
2548,2020-02-24,1672,1672,1687,1650,1657,False,435
2549,2020-02-25,1647,1647,1654,1632,1645,False,409
2550,2020-02-26,1640,1640,1648,1636,1644,False,1990
2551,2020-02-27,1640,1640,1658,1638,1641,False,707
2552,2020-02-28,1564,1564,1642,1564,1640,False,289
2553,2020-03-02,1592,1592,1608,1574,1584,False,537
2554,2020-03-03,1642,1642,1645,1594,1594,False,610
2555,2020-03-04,1641,1641,1646,1631,1645,False,83
2556,2020-03-05,1666,1666,1673,1637,1637,False,154
2557,2020-03-06,1671,1671,1686,1647,1671,False,175
2558,2020-03-09,1674,1674,1702,1658,1696,False,161
2559,2020-03-10,1659,1659,1675,1643,1672,False,48
2560,2020-03-11,1641,1641,1666,1635,1657,False,47
2561,2020-03-12,1589,1589,1648,1566,1637,False,256
2562,2020-03-13,1516,1516,1590,1514,1575,False,89
2563,2020-03-16,1486,1486,1569,1452,1569,False,193
2564,2020-03-17,1525,1525,1538,1469,1469,False,122
2565,2020-03-18,1477,1477,1542,1477,1538,False,333
2566,2020-03-19,1479,1479,1492,1471,1482,False,262
2567,2020-03-20,1484,1484,1484,1484,1484,False,14
2568,2020-03-23,1567,1567,1567,1490,1505,False,51
2569,2020-03-24,1660,1660,1686,1593,1593,False,442
2570,2020-03-25,1632,1632,1676,1631,1676,False,476
2571,2020-03-26,1650,1650,1660,1650,1660,False,3
2572,2020-03-27,1624,1624,1624,1624,1624,False,100638
2573,2020-03-30,1622,1622,1653,1607,1641,False,16389
2574,2020-03-31,1583,1583,1621,1576,1619,False,2874
2575,2020-04-01,1578,1578,1600,1570,1570,False,2158
2576,2020-04-02,1626,1626,1631,1586,1591,False,1294
2577,2020-04-03,1634,1634,1636,1620,1624,False,643
2578,2020-04-06,1677,1677,1697,1626,1629,False,1063
2579,2020-04-07,1665,1665,1724,1658,1696,False,1144
2580,2020-04-08,1665,1665,1677,1662,1670,False,747
2581,2020-04-09,1736,1736,1736,1663,1663,False,825
2582,2020-04-13,1745,1745,1757,1711,1722,False,696
2583,2020-04-14,1757,1757,1775,1740,1757,False,675
2584,2020-04-15,1727,1727,1745,1723,1739,False,642
2585,2020-04-16,1720,1720,1751,1715,1731,False,162
2586,2020-04-17,1689,1689,1725,1685,1716,False,223
2587,2020-04-20,1702,1702,1702,1680,1686,False,106
2588,2020-04-21,1678,1678,1707,1660,1697,False,666
2589,2020-04-22,1729,1729,1729,1685,1696,False,453
2590,2020-04-23,1733,1733,1745,1733,1734,False,482
2591,2020-04-24,1724,1724,1744,1714,1744,False,221
2592,2020-04-27,1712,1712,1732,1712,1732,False,169
2593,2020-04-28,1710,1710,1717,1707,1717,False,1255
2594,2020-04-29,1703,1703,1714,1702,1710,False,373
2595,2020-04-30,1684,1684,1719,1681,1719,False,327
2596,2020-05-01,1694,1694,1702,1670,1687,False,337
2597,2020-05-04,1707,1707,1709,1700,1703,False,320
2598,2020-05-05,1704,1704,1704,1697,1702,False,82
2599,2020-05-06,1684,1684,1704,1684,1704,False,469
2600,2020-05-07,1722,1722,1722,1686,1686,False,853
2601,2020-05-08,1710,1710,1729,1704,1726,False,330
2602,2020-05-11,1695,1695,1704,1690,1702,False,749
2603,2020-05-12,1704,1704,1713,1699,1699,False,324
2604,2020-05-13,1714,1714,1721,1702,1702,False,431
2605,2020-05-14,1738,1738,1743,1720,1724,False,672
2606,2020-05-15,1753,1753,1753,1740,1740,False,719
2607,2020-05-18,1732,1732,1770,1732,1756,False,229
2608,2020-05-19,1744,1744,1750,1744,1744,False,167
2609,2020-05-20,1751,1751,1752,1746,1752,False,16
2610,2020-05-21,1720,1720,1747,1720,1747,False,528
2611,2020-05-22,1735,1735,1735,1727,1727,False,6
2612,2020-05-26,1705,1705,1726,1705,1726,False,39
2613,2020-05-27,1710,1710,1710,1686,1686,False,137416
2614,2020-05-28,1713,1713,1728,1705,1709,False,23355
2615,2020-05-29,1737,1737,1738,1715,1719,False,1526
2616,2020-06-01,1738,1738,1747,1727,1740,False,871
2617,2020-06-02,1725,1725,1746,1722,1743,False,741
2618,2020-06-03,1698,1698,1726,1684,1726,False,2755
2619,2020-06-04,1719,1719,1719,1694,1694,False,807
2620,2020-06-05,1676,1676,1712,1669,1712,False,1502
2621,2020-06-08,1698,1698,1699,1676,1679,False,587
2622,2020-06-09,1715,1715,1721,1692,1695,False,690
2623,2020-06-10,1713,1713,1741,1712,1716,False,718
2624,2020-06-11,1732,1732,1744,1720,1737,False,347
